scenario,trace_id,operation,decision,metric,value_ms
interactive_valid_flow,tr_67981eeaafeb404b,verify_cod,accepted,cod_validation,0.1959
interactive_valid_flow,tr_67981eeaafeb404b,verify_cod,accepted,capability_realization,0.074
interactive_valid_flow,tr_67981eeaafeb404b,verify_cod,accepted,ledger_anchor,3.249
interactive_valid_flow,tr_9d18a1d02d8f4883,issue_downstream_delegation,accepted,incoming_cod_validation,0.1667
interactive_valid_flow,tr_9d18a1d02d8f4883,issue_downstream_delegation,accepted,signature_generation,0.0568
interactive_valid_flow,tr_9d18a1d02d8f4883,issue_downstream_delegation,accepted,ledger_anchor,2.8719
interactive_valid_flow,tr_74e3ce7139d04fe1,delegate_to_domain,accepted,signature_generation,0.082
interactive_valid_flow,tr_74e3ce7139d04fe1,delegate_to_domain,accepted,ledger_anchor,2.004
interactive_valid_flow,tr_2d5df181bde64a57,issue_delegation,accepted,signature_generation,0.0848
interactive_valid_flow,tr_2d5df181bde64a57,issue_delegation,accepted,ledger_anchor,2.0209
interactive_valid_flow,tr_79401f0d14624c45,issue_delegation,accepted,signature_generation,0.1124
interactive_valid_flow,tr_79401f0d14624c45,issue_delegation,accepted,ledger_anchor,1.8258
interactive_valid_flow,tr_1c23bf7c381e4e71,issue_downstream_delegation,accepted,incoming_cod_validation,0.1661
interactive_valid_flow,tr_1c23bf7c381e4e71,issue_downstream_delegation,accepted,signature_generation,0.0523
interactive_valid_flow,tr_1c23bf7c381e4e71,issue_downstream_delegation,accepted,ledger_anchor,3.0031
interactive_valid_flow,tr_3547d497b8bb4f61,verify_cod,accepted,cod_validation,0.4862
interactive_valid_flow,tr_3547d497b8bb4f61,verify_cod,accepted,capability_realization,0.1006
interactive_valid_flow,tr_3547d497b8bb4f61,verify_cod,accepted,ledger_anchor,1.5106
interactive_valid_flow,tr_f002db5e680f4625,delegate_to_domain,accepted,signature_generation,0.0985
interactive_valid_flow,tr_f002db5e680f4625,delegate_to_domain,accepted,ledger_anchor,2.1025
interactive_valid_flow,tr_9043c15a95a24dc9,delegate_to_domain,accepted,signature_generation,0.0857
interactive_valid_flow,tr_9043c15a95a24dc9,delegate_to_domain,accepted,ledger_anchor,1.8389
interactive_valid_flow,tr_e5ced941e1694105,issue_downstream_delegation,accepted,incoming_cod_validation,0.1504
interactive_valid_flow,tr_e5ced941e1694105,issue_downstream_delegation,accepted,signature_generation,0.0548
interactive_valid_flow,tr_e5ced941e1694105,issue_downstream_delegation,accepted,ledger_anchor,2.9215
interactive_valid_flow,tr_0f172b0c24194841,issue_downstream_delegation,accepted,incoming_cod_validation,0.228
interactive_valid_flow,tr_0f172b0c24194841,issue_downstream_delegation,accepted,signature_generation,0.0581
interactive_valid_flow,tr_0f172b0c24194841,issue_downstream_delegation,accepted,ledger_anchor,4.152
interactive_valid_flow,tr_92e248fb9364440c,verify_cod,accepted,cod_validation,0.358
interactive_valid_flow,tr_92e248fb9364440c,verify_cod,accepted,capability_realization,0.0783
interactive_valid_flow,tr_92e248fb9364440c,verify_cod,accepted,ledger_anchor,3.9091
interactive_valid_flow,tr_0d3bfb0c37da4378,verify_cod,accepted,cod_validation,0.2425
interactive_valid_flow,tr_0d3bfb0c37da4378,verify_cod,accepted,capability_realization,0.0702
interactive_valid_flow,tr_0d3bfb0c37da4378,verify_cod,accepted,ledger_anchor,2.666
interactive_valid_flow,tr_5a982a1cb4034c65,issue_delegation,accepted,signature_generation,0.0841
interactive_valid_flow,tr_5a982a1cb4034c65,issue_delegation,accepted,ledger_anchor,3.09
interactive_valid_flow,tr_98e1f0ce274045fb,verify_cod,accepted,cod_validation,0.1975
interactive_valid_flow,tr_98e1f0ce274045fb,verify_cod,accepted,capability_realization,0.0715
interactive_valid_flow,tr_98e1f0ce274045fb,verify_cod,accepted,ledger_anchor,2.8033
interactive_valid_flow,tr_64c44a4bcabb4916,issue_delegation,accepted,signature_generation,0.0731
interactive_valid_flow,tr_64c44a4bcabb4916,issue_delegation,accepted,ledger_anchor,2.7742
interactive_valid_flow,tr_067f2d320cd94878,delegate_to_domain,accepted,signature_generation,0.0899
interactive_valid_flow,tr_067f2d320cd94878,delegate_to_domain,accepted,ledger_anchor,4.3684
interactive_valid_flow,tr_a5efee90cafd44de,issue_delegation,accepted,signature_generation,0.0674
interactive_valid_flow,tr_a5efee90cafd44de,issue_delegation,accepted,ledger_anchor,2.9434
interactive_valid_flow,tr_03ca3bb06f27471c,delegate_to_domain,accepted,signature_generation,0.0661
interactive_valid_flow,tr_03ca3bb06f27471c,delegate_to_domain,accepted,ledger_anchor,2.3103
interactive_valid_flow,tr_2d4a2c82f93e43d4,issue_delegation,accepted,signature_generation,0.0769
interactive_valid_flow,tr_2d4a2c82f93e43d4,issue_delegation,accepted,ledger_anchor,3.1269
interactive_valid_flow,tr_8f7f2659a1cb46cd,issue_delegation,accepted,signature_generation,0.07
interactive_valid_flow,tr_8f7f2659a1cb46cd,issue_delegation,accepted,ledger_anchor,2.7052
interactive_valid_flow,tr_4c62f7d7bf1e4e4e,issue_downstream_delegation,accepted,incoming_cod_validation,0.2065
interactive_valid_flow,tr_4c62f7d7bf1e4e4e,issue_downstream_delegation,accepted,signature_generation,0.059
interactive_valid_flow,tr_4c62f7d7bf1e4e4e,issue_downstream_delegation,accepted,ledger_anchor,1.6583
interactive_valid_flow,tr_5d818a99f58e403e,issue_delegation,accepted,signature_generation,0.0744
interactive_valid_flow,tr_5d818a99f58e403e,issue_delegation,accepted,ledger_anchor,2.1667
interactive_valid_flow,tr_687ec2af51a046db,delegate_to_domain,accepted,signature_generation,0.1713
interactive_valid_flow,tr_687ec2af51a046db,delegate_to_domain,accepted,ledger_anchor,2.9712
interactive_valid_flow,tr_d6b0c91c3ac44a0e,issue_downstream_delegation,accepted,incoming_cod_validation,0.1495
interactive_valid_flow,tr_d6b0c91c3ac44a0e,issue_downstream_delegation,accepted,signature_generation,0.0492
interactive_valid_flow,tr_d6b0c91c3ac44a0e,issue_downstream_delegation,accepted,ledger_anchor,2.2628
interactive_valid_flow,tr_7b3222f0fcba4a6b,issue_delegation,accepted,signature_generation,0.0768
