session,test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
01,chain_depth_sensitivity,3,92,True,0.850208,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,93,True,0.851084,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,94,True,0.869042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,95,True,0.824791,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,96,True,0.839333,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,97,True,0.8365,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,98,True,0.87825,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,99,True,0.875833,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,100,True,0.853542,valid chain of delegation,3,2530
01,chain_depth_sensitivity,5,1,True,0.990625,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,2,True,1.022791,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,3,True,0.997,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,4,True,1.00725,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,5,True,1.038,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,6,True,1.016458,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,7,True,0.994375,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,8,True,1.008334,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,9,True,1.024375,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,10,True,0.970583,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,11,True,1.008708,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,12,True,1.01025,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,13,True,0.990334,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,14,True,1.0445,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,15,True,0.989791,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,16,True,1.01875,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,17,True,1.024125,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,18,True,0.995333,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,19,True,0.995709,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,20,True,1.009917,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,21,True,0.966958,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,22,True,1.031042,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,23,True,0.991833,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,24,True,0.99,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,25,True,0.995583,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,26,True,0.973625,valid chain of delegation,5,4234
